0// Mod Name & Description
henpemaz_rainmeadow-name|레인 메도우
This may cause unstable play.|플레이가 불안정해질 가능성이 있습니다.
Reorder your mods now?|다시 모드를 요청하시겠습니까?
Cannot join due to missing DLC!|필요한 DLC가 없어서 참여할 수 없습니다!
Missing DLC Mods that have to be enabled: |활성화해야 하는 모드 혹은 DLC:

// Remix Options
Note: These inputs are not used in Meadow mode|주의: 이 입력 설정은 메도우 모드에서는 사용되지 않습니다
Show usernames|사용자 이름 표시
Username Toggle|사용자 이름·전환
Replace holding with toggling|홀드를 전환으로 변경한다
Key used for toggling spectator mode|관전 모드 전환 키
Stop Inputs While Spectating|관전 모드 중에는 입력을 비활성화
Pointing Key|포인트 키
Control which mods are permitted on clients by editing the files below.<LINE>Instructions included within.|아래 버튼을 클릭하여 클라이언트 측에서 허용되는 모드를 조정해 주세요. <LINE> 절차는 파일 내에서 확인해 주세요.
Edit High-Impact Mods|동기화 필수 모드를 편집
Edit Banned Mods|거부 모드를 편집
Chat Log Toggle|로그 전환
Chat Talk Button|채팅 키
Chat Background Opacity|채팅의 불투명도 설정
Show Ping|네트워크 지연 표시
Playtesting Gift|테스터 기프트
Chat Log On/Off|로그 활성화
Introroll|타이틀 화면
Vanilla|바닐라
Downpour|다운푸어
Downpour DLC is not activated, vanilla intro will be used instead|「더 많은 슬러그캣 확장」이 비활성화 되어있습니다. 바닐라의 타이틀 화면으로 교체합니다.
Watcher DLC is not activated, vanilla intro will be used instead|「관찰자」가 비활성화 되어있습니다. 바닐라의 타이틀 화면으로 교체합니다.
Player Menu Scroll Speed for Spectate, Story menu, Arena results.  Default: 5|관전 모드, 스토리, 아레나 메뉴의 크롤 속도. 기본값: 5
Disable Pause Menu Animation|일시정지 중 애니메이션을 비활성화
If selected, disables the sway animation in the pause menu|활성화하면 일시정지 중 파도 애니메이션이 사라집니다.
Input “cheats” to access cheats|치트에 접근하려면 “cheats”를 입력하세요.
Just make sure not to ruin the fun for yourself...|즐거움을 스스로 망치지 않도록 조심하세요…
Emote and skin unlocks will affect the currently selected character|이모트와 스킨을 모두 해제하면 현재 선택한 캐릭터에 영향을 줍니다
Unlock Emote|이모트 잠금 해제
Unlock Skin|스킨 잠금 해제
Unlock Character|캐릭터 잠금 해제
Reset all progression|진행 상황을 초기화한다
Match settings have been relocated to the arena lobby menu.<LINE>The remaining options just enable easter eggs.|매치 설정이 아레나 메뉴로 이동했습니다.<LINE>남은 설정은 이스터 에그뿐입니다.
The following option may contain spoilers for Saint's campaign.|이 설정에는 성자 캠페인의 스포일러가 포함되어 있습니다.
OKIE DOKIE|오키 도키
Slugpup: Rubicon background in select menu|아기 슬러그캣: 선택 화면에 루비콘 배경 허용
Ready to shelter/gate|게이트·우비 피난처 아이콘
If selected, usernames and icons will allways appear onscreen for slugcats in a gate or shelter.|참이라면 게이트와 피난처에 있는 슬러그캣의 사용자명과<LINE>아이콘이 항상 표시됩니다.
[Experimental Features]|[시험적 기능] 
WARNING: Experimental features may cause data corruption, back up your saves|!경고! 시험 기능은 데이터가 손상될 가능성이 있습니다. 백업을 잊지 마세요!
Custom Story Slugcat:|커스텀 스토리:
If selected, hosts can choose slugcat campaigns that are unstable.|활성화하면 호스트가 검증되지 않은 슬러그캣의 커스텀 캠페인을 <LINE>선택할 수 있게 됩니다.
Steal items from other players in Story mode|스토리 모드에서 플레이어에게서 창을 스틸
LAN|LAN
Username|유저 이름
UDP timeout (ms)|UDP 연결 타임아웃 (ms)
UDP heartbeat (ms)|UDP 연결 하트 비트 (ms)

// Credits
Rain Meadow is a unique multiplayer engine for a unique game. Nothing else would fit. - Henpemaz|는 독특한 게임을 위한 독특한 멀티플레이어 엔진입니다. 다른 제품은 전혀 맞지 않았습니다. - Henpemaz
Meadow is a gamemode inspired by the game of same name from Might&Delight. It's a buggy, barely playable game, that one can fall in love with. Sounds familiar?|『Meadow』는 Might & Delight의 동명 게임에 영감을 받은 게임 모드입니다. 버그가 많아 거의 플레이할 수 없는 게임이지만, <LINE> 빠져들게 하는 매력이 있습니다. 어디선가 들어본 적 있나요?
This mod and all its features were brought to you by really awesome people from the community.|이 모드와 모든 기능은 커뮤니티의 정말 훌륭한 사람들에 의해 제공되었습니다.
Lead Developer|메인 개발자
Lead Artist|메인 아티스트
Lead Audio Designer|메인 사운드 디자이너
Programming, engine|프로그래밍 - 엔진
Programming, sound|프로그래밍 - 사운드
UI Design|UI 구축
Programming, menus|프로그래밍 - 메뉴
Programming, arena|프로그래밍 - 아레나
Programming, story|프로그래밍 - 스토리
Programming, modsync|프로그래밍 - Modsync
Programming, story, arena|프로그래밍 - 스토리, 아레나
Programming, UI, chat|프로그래밍 - UI、채팅
Illustration|일러스트
Programming, UI, menus|프로그래밍 - UI、메뉴
Programming, UI, story|프로그래밍 - UI、스토리
Programming, UI, LAN|프로그래밍 - UI、LAN
Thank you playtesters from the Rain Meadow discord as well.|레인메도우 디스코드 플레이 테스터 여러분께도 정말 감사드립니다.

// misc
Players|플레이어
CONFIRM|적용
Leaving Lobby|로비에서 퇴장
You were removed from the previous online game|지난번 온라인 플레이에서 제외되었습니다.
This player does not have a profile.|이 플레이어는 프로필을 가지고 있지 않습니다.
Steam is not currently available. Some features of Rain Meadow have been disabled.|Steam은 현재 비활성화되어 있습니다. 레인메도우의 몇몇 기능이 비활성화되었습니다.
Rain Meadow failed to start|레인메도우 시작에 실패했습니다.
Rain Meadow: Please use an external mod to access Inv's campaign.|레인메도우: Inv 캠페인에 접근하려면 외부 MOD를 사용해 주세요.


/// VERSION 0.1.8.0 UPDATE ///

/// options-> story
Gain achievements online|실적 획득을 온라인 플레이에서 유효하게 만듭니다

/// arena-> ability
Select Settings|DLC 설정
MSC Settings|더 많은 슬러그캣 확장 설정
Watcher Settings|관찰자 설정
Return to Select Settings Page|DLC 설정으로 돌아간다

/// arena-> ability-> watcher Tab
Watcher Ripple Level:|관찰자의 잔물결 레벨:
Updates Watcher's ripple level. Ranges from 1 to 9. Default: 1|관찰자의 잔물결 레벨을 1~9 범위 내에서 설정 (기본값: 1)


/// no translation in the list?

/// arena slugcat select
Press grab to toggle active slugcats|잡기 버튼을 눌러 활성화할 슬러그캣을 선택

/// arena back button description
Exit to Lobby Select|로비 선택 화면으로 돌아간다
View post-Game Stats|게임 통계 표시
/// arena invite buton description (this is already exist at Meadow tab but not it not worked)
The Steam invite feature is currently unstable, and may not work properly. <LINE> Consider using a public lobby with a password instead.|스팀의 초대 기능이 현재 불안정하여 제대로 작동하지 않을 수 있습니다.<LINE>대신 비밀번호가 있는 공개 로비를 사용하는 것을 고려해 보세요.
Invite friends|친구 초대
